model,ID,kraken_present,cv_fold,logp
ucb_lcb_n,279.0,0.0,0.0,-18.438831388950348
ucb_lcb_n,280.0,0.0,0.0,-23.833938628435135
ucb_lcb_n,282.0,0.0,0.0,-20.342141836881638
ucb_lcb_n,283.0,0.0,0.0,-29.01800549030304
ucb_lcb_n,284.0,0.0,0.0,-23.094916194677353
ucb_lcb_n,285.0,0.0,0.0,-25.576589345932007
ucb_lcb_n,286.0,0.0,0.0,-35.7010543346405
ucb_lcb_n,287.0,0.0,0.0,-44.36256778240204
ucb_lcb_n,288.0,0.0,0.0,-48.51517724990845
ucb_lcb_n,289.0,0.0,0.0,-10.422725893557072
ucb_lcb_n,290.0,0.0,0.0,-35.64741861820221
ucb_lcb_n,291.0,0.0,0.0,-58.73622488975525
ucb_lcb_n,292.0,0.0,0.0,-28.28830051422119
ucb_lcb_n,293.0,0.0,0.0,-31.50651216506958
ucb_lcb_n,294.0,0.0,0.0,-33.71729600429535
ucb_lcb_n,295.0,0.0,0.0,-45.870004177093506
ucb_lcb_n,296.0,0.0,0.0,-11.80743220448494
ucb_lcb_n,297.0,0.0,0.0,-6.027212096378207
ucb_lcb_n,298.0,0.0,0.0,-32.48238244652748
ucb_lcb_n,299.0,0.0,0.0,-33.15791070461273
ucb_lcb_n,300.0,0.0,0.0,-36.83806335926056
ucb_lcb_n,301.0,0.0,0.0,-18.139106452465057
ucb_lcb_n,302.0,0.0,0.0,-53.63338124752045
ucb_lcb_n,303.0,0.0,0.0,-31.470160126686096
ucb_lcb_n,304.0,0.0,0.0,-19.30104088783264
ucb_lcb_n,305.0,0.0,0.0,-29.39332628250122
ucb_lcb_n,306.0,0.0,0.0,-40.6498646736145
ucb_lcb_n,307.0,0.0,0.0,-25.85227856040001
ucb_lcb_n,308.0,0.0,0.0,-32.56871521472931
ucb_lcb_n,309.0,0.0,0.0,-15.127630114555359
ucb_lcb_n,310.0,0.0,0.0,-37.585009694099426
ucb_lcb_n,311.0,0.0,0.0,-39.99689221382141
ucb_lcb_n,312.0,0.0,0.0,-24.32847833633423
ucb_lcb_n,313.0,0.0,0.0,-24.744488537311554
ucb_lcb_n,314.0,0.0,0.0,-39.0556640625
ucb_lcb_n,315.0,0.0,0.0,-31.223668813705444
ucb_lcb_n,316.0,0.0,0.0,-18.362248063087463
ucb_lcb_n,317.0,0.0,0.0,-52.82798457145691
ucb_lcb_n,318.0,0.0,0.0,-27.36966347694397
ucb_lcb_n,319.0,0.0,0.0,-15.158185541629791
ucb_lcb_n,320.0,0.0,0.0,-17.85113237146288
ucb_lcb_n,321.0,0.0,0.0,-36.53227162361145
ucb_lcb_n,322.0,0.0,0.0,-10.498800426721573
ucb_lcb_n,323.0,0.0,0.0,-21.88325595855713
ucb_lcb_n,324.0,0.0,0.0,-21.210558973252773
ucb_lcb_n,325.0,0.0,0.0,-27.359566032886505
ucb_lcb_n,326.0,0.0,0.0,-28.026738941669464
ucb_lcb_n,327.0,0.0,0.0,-17.799507915973663
ucb_lcb_n,328.0,0.0,0.0,-78.64861154556274
ucb_lcb_n,329.0,0.0,0.0,-26.06769847869873
ucb_lcb_n,330.0,0.0,0.0,-19.514155447483063
ucb_lcb_n,331.0,0.0,0.0,-47.817625522613525
ucb_lcb_n,332.0,0.0,0.0,-45.80996632575989
ucb_lcb_n,333.0,0.0,0.0,-14.334781765937805
ucb_lcb_n,334.0,0.0,0.0,-33.624512791633606
ucb_lcb_n,336.0,0.0,0.0,-6.923164248466492
ucb_lcb_n,337.0,0.0,0.0,-27.423123478889465
ucb_lcb_n,338.0,0.0,0.0,-42.75298190116882
ucb_lcb_n,340.0,0.0,0.0,-13.543393641710281
ucb_lcb_n,341.0,0.0,0.0,-19.346539080142975
ucb_lcb_n,342.0,0.0,0.0,-31.353065013885498
ucb_lcb_n,343.0,0.0,0.0,-35.15096093714237
ucb_lcb_n,344.0,0.0,0.0,-13.82484913431108
ucb_lcb_n,346.0,0.0,0.0,-42.42403435707092
ucb_lcb_n,347.0,0.0,0.0,-31.557834297418594
ucb_lcb_n,348.0,0.0,0.0,-34.49262356758118
ucb_lcb_n,350.0,0.0,0.0,-21.26649808883667
ucb_lcb_n,351.0,0.0,0.0,-30.357189297676086
ucb_lcb_n,352.0,0.0,0.0,-33.25221937894821
ucb_lcb_n,353.0,0.0,0.0,-49.21867763996124
ucb_lcb_n,354.0,0.0,0.0,0.0
ucb_lcb_n,355.0,0.0,0.0,-52.89613103866577
ucb_lcb_n,356.0,0.0,0.0,-13.06174886226654
ucb_lcb_n,357.0,0.0,0.0,-17.780817925930023
ucb_lcb_n,358.0,0.0,0.0,-21.1705604493618
ucb_lcb_n,359.0,0.0,0.0,-34.67181694507599
